0, 470
1, 370
2, 128
3, 266
4, 113
5, 162
6, 134
7, 148
8, 81
9, 56
10, 46
11, 76
12, 60
13, 48
14, 72
15, 48
16, 148
17, 32
18, 35
19, 27
20, 24
21, 31
22, 26
23, 19
24, 14
25, 16
26, 16
27, 14
28, 20
29, 11
30, 5
31, 9
32, 14
33, 17
34, 16
35, 9
36, 12
37, 11
38, 6
39, 9
40, 7
41, 9
42, 12
43, 8
44, 5
45, 8
46, 7
47, 6
48, 8
49, 5
50, 2
51, 4
52, 4
53, 4
54, 9
55, 9
56, 5
57, 5
58, 3
59, 5
60, 8
61, 2
62, 9
63, 3
64, 2
65, 3
66, 3
67, 2
68, 2
70, 2
71, 1
72, 4
73, 3
74, 1
75, 3
77, 2
78, 2
79, 2
80, 3
81, 4
82, 1
83, 3
84, 5
85, 4
87, 5
88, 1
90, 1
91, 3
92, 1
94, 3
96, 2
97, 2
98, 1
99, 1
102, 1
103, 2
104, 2
105, 1
106, 1
107, 2
108, 1
109, 1
110, 2
111, 1
114, 1
115, 2
117, 1
119, 1
120, 2
122, 1
127, 3
129, 1
130, 1
132, 1
133, 2
135, 3
140, 2
142, 2
143, 1
144, 1
145, 2
147, 1
149, 1
151, 1
153, 1
154, 1
158, 1
162, 1
163, 1
172, 2
179, 1
184, 2
188, 2
199, 1
204, 1
206, 1
207, 1
209, 2
214, 1
230, 2
232, 1
235, 1
236, 1
237, 1
246, 1
253, 1
255, 2
256, 1
257, 1
275, 1
336, 1
343, 1
369, 1
384, 1
385, 1
401, 1
439, 1
465, 1
477, 1
519, 1
535, 1
582, 1
3638, 1
avg, 7.19476
