0, 20
1, 760
3, 264
4, 152
5, 140
6, 150
7, 120
8, 142
9, 103
10, 71
11, 80
12, 99
13, 53
14, 63
15, 40
16, 44
17, 32
18, 38
19, 40
20, 150
21, 21
22, 24
23, 24
24, 27
25, 25
26, 18
27, 27
28, 16
29, 17
30, 25
31, 18
32, 13
33, 10
34, 10
35, 12
36, 8
37, 6
38, 4
39, 8
40, 9
41, 7
42, 3
43, 8
44, 5
45, 7
46, 3
47, 6
48, 4
49, 2
50, 7
51, 5
52, 6
53, 1
54, 3
55, 5
56, 6
57, 1
58, 5
59, 2
60, 2
61, 3
63, 4
64, 4
65, 3
66, 2
68, 4
69, 4
70, 1
71, 4
72, 3
73, 2
74, 2
75, 2
76, 5
77, 2
78, 4
79, 1
80, 1
81, 1
82, 4
84, 1
85, 1
86, 2
87, 5
88, 4
91, 3
92, 1
93, 1
94, 1
95, 1
96, 4
99, 2
100, 1
101, 1
102, 1
104, 3
105, 1
107, 2
111, 1
112, 1
119, 3
120, 2
122, 5
129, 1
134, 3
136, 1
138, 1
139, 1
140, 1
143, 1
145, 1
146, 1
147, 1
148, 1
149, 1
157, 1
158, 1
159, 1
160, 1
161, 3
163, 1
164, 1
167, 2
170, 1
172, 2
175, 2
183, 1
185, 1
187, 1
191, 1
198, 1
212, 1
216, 1
231, 1
232, 1
242, 1
243, 1
246, 1
254, 1
259, 1
270, 1
272, 1
298, 1
335, 2
369, 1
441, 1
519, 1
533, 1
avg, 4.85481
